vendor_id,passenger_count,store_and_fwd_flag,pickup_hour,pickup_day_of_week,pickup_month,is_weekend,distance_km
2,1,N,9,1,4,0,2.055405952922272
2,1,N,18,5,5,1,3.941858952456392
2,1,N,12,5,4,1,6.7939792344672965
1,2,N,17,4,2,0,2.016758365672608
2,1,N,13,4,3,0,8.765933840321559
2,1,N,8,1,3,0,1.481674876986356
1,2,N,18,3,1,0,2.663439292363039
1,3,N,2,6,4,1,4.677337617399831
2,1,N,10,2,3,0,0.1704053822402965
2,3,N,11,6,4,1,1.1460946009195077
1,1,N,6,5,5,1,19.886381335315026
1,1,N,10,4,3,0,3.243975881936441
2,1,N,18,6,5,1,1.3952591937344674
1,1,N,9,4,5,0,21.303397946515524
1,1,N,21,4,4,0,3.7004464505248937
2,2,N,21,3,2,0,3.0722275925271045
2,1,N,16,3,5,0,1.737162999566861
1,3,N,3,5,5,1,1.8980289918388384
1,2,N,17,6,4,1,1.1523504954066788
2,2,N,22,2,4,0,10.244471409630256
2,1,N,18,4,5,0,1.0548775105572303
2,1,N,9,3,3,0,1.3261960594318545
1,1,N,20,2,1,0,1.7479921551616435
2,2,N,10,3,4,0,0.8662663594132031
1,1,N,13,0,3,0,5.223338284565943
2,1,N,17,4,3,0,1.21991009146425
1,1,N,21,1,3,0,2.319164451465661
1,1,N,20,2,2,0,2.962288543436611
1,1,N,9,2,1,0,1.33372459355034
2,1,N,0,6,1,1,6.917174720039728
2,3,N,13,6,1,1,0.5994725249110874
2,1,N,7,1,5,0,0.7296313638673664
1,3,N,18,0,3,0,2.552577369215981
1,1,N,12,3,3,0,1.8285339185294285
1,2,N,14,2,2,0,0.4732703909316702
1,1,N,22,5,4,1,4.339016275667316
1,1,N,8,1,5,0,1.2492665823173028
2,1,N,8,3,2,0,0.974382115649346
1,2,N,22,3,1,0,9.3786348952286
1,1,N,6,5,2,1,1.6477468342251194
2,2,N,17,0,4,0,1.3907121861143732
1,1,N,21,1,1,0,2.171595394479841
1,1,N,9,3,3,0,2.274295164167787
2,2,N,19,0,1,0,1.1623484195777414
2,1,N,15,2,5,0,0.8481408304361919
1,1,N,9,2,5,0,1.3941962727223092
1,1,N,10,0,1,0,1.903054829347777
2,1,N,18,0,1,0,0.6283096929968195
1,1,Y,9,0,1,0,16.345001994034202
2,2,N,13,3,4,0,2.6135875660434573
2,2,N,19,6,2,1,1.3882382307063303
1,1,N,12,4,1,0,0.557704842367705
2,1,N,7,3,5,0,3.116683212697016
2,3,N,1,5,1,1,2.4272703651378134
1,1,N,15,0,1,0,2.344771243369229
2,1,N,9,4,2,0,1.181942131380435
2,1,N,19,1,1,0,3.65844938502885
2,3,N,23,3,4,0,2.496206333468638
2,2,N,11,2,1,0,1.8688594396709317
1,1,N,19,2,4,0,5.342285862167517
2,1,N,0,6,1,1,1.0154282826478207
2,6,N,2,1,1,0,0.6361064210436843
2,1,N,13,5,5,1,2.0715557340566884
2,1,N,1,6,3,1,2.426749271286279
2,1,N,22,1,1,0,2.208046847806265
1,1,N,21,2,2,0,7.512136573380638
2,1,N,23,2,2,0,1.920149217288161
1,1,N,9,1,4,0,0.8505862493743381
2,1,N,13,5,1,1,2.656548931701676
2,1,N,3,6,3,1,16.404739454559277
1,2,N,2,6,2,1,0.6805104733624286
1,1,N,11,1,2,0,0.8955202060930108
2,3,N,22,2,5,0,2.3037605288990712
1,1,N,15,3,2,0,1.3081813274248706
1,1,N,15,0,2,0,2.993007107625828
1,1,N,12,3,3,0,0.2944038966279113
1,1,N,21,3,2,0,1.4172397910564511
2,1,N,11,5,3,1,1.4127793040641137
2,2,N,16,4,1,0,5.51304062067654
2,1,N,9,2,5,0,7.047219879109704
1,1,N,6,0,4,0,2.635715449822916
1,2,Y,12,2,1,0,8.2814475622619
1,1,N,6,4,4,0,1.0361998320877694
1,1,N,8,1,2,0,3.911705428400316
2,2,N,2,4,4,0,8.58753308074541
1,1,N,8,0,3,0,2.3062774289023773
1,1,N,7,0,5,0,2.877321008351472
2,2,N,8,2,4,0,1.8956460764433296
1,1,N,10,4,5,0,1.3281862658132737
2,5,N,19,4,4,0,1.6150109778990778
2,5,N,22,0,2,0,4.637102582720432
2,2,N,23,1,5,0,2.1054309680323646
2,2,N,6,4,1,0,12.49851846127045
1,1,N,20,2,5,0,1.5378551069020248
1,1,N,14,1,2,0,1.5738929638824286
1,1,N,16,4,4,0,1.2064568373695252
1,1,N,9,3,2,0,3.1078160836038844
1,1,N,14,5,4,1,2.5943659294001944
1,1,N,14,5,1,1,0.599272680838896
2,1,N,18,5,5,1,19.702466544326757
1,1,N,6,1,5,0,0.7948782887418618
2,5,N,21,0,1,0,3.9086089603087903
1,1,N,1,3,1,0,7.951838513474226
2,3,N,0,5,3,1,0.8738243197560489
2,1,N,12,3,3,0,3.663399847566522
2,1,N,23,3,2,0,4.976751677790068
2,1,N,12,3,2,0,1.587273676479755
2,1,N,21,0,5,0,5.153571427766345
2,1,N,6,2,2,0,3.009446271815457
1,1,N,23,4,4,0,1.9622041062039428
2,1,N,19,3,5,0,3.0189446815654497
1,1,N,20,4,3,0,1.4973219084308589
2,1,N,1,5,3,1,3.9573622795784726
2,5,N,18,6,1,1,1.8387530887922323
2,2,N,15,2,3,0,1.60620299568222
2,1,N,8,1,1,0,1.2062950611215049
1,1,N,15,2,2,0,1.935351383517781
2,1,N,16,0,2,0,2.56209898250339
2,1,N,23,4,3,0,1.618164589969232
2,1,N,20,5,5,1,3.5411719835995417
1,1,N,9,2,3,0,1.699600256369108
2,5,N,11,3,3,0,1.071505182690648
2,1,N,2,1,1,0,3.024717476403316
2,1,N,15,2,3,0,21.448036023440647
1,4,N,23,1,3,0,1.8350003430244664
1,1,N,13,5,4,1,1.604939520345665
2,1,N,22,0,3,0,0.7205040321666447
1,2,N,2,6,1,1,3.9403944286800727
1,1,N,3,4,5,0,1.4063291139272924
1,2,N,20,5,5,1,2.3482785013445957
1,1,N,9,4,1,0,3.4418440390787675
2,1,N,12,5,1,1,0.8754860254758497
1,1,N,12,5,2,1,0.772681787992722
1,3,N,19,0,1,0,1.2938155612807314
1,1,N,22,4,1,0,2.348905406360819
1,1,N,4,0,2,0,1.2870623984962024
1,1,N,6,2,1,0,6.557607888271103
1,2,N,14,1,4,0,0.6739013739374966
2,3,N,16,5,4,1,1.6519003516401147
2,2,N,8,0,1,0,1.5743433420792072
2,1,N,23,3,1,0,2.556148429175993
1,1,N,17,4,3,0,2.0926552597824117
2,1,N,6,6,5,1,1.1837240257027428
2,1,N,0,3,4,0,2.404881464424827
2,1,N,8,1,3,0,3.4898516189350914
2,1,N,7,2,1,0,0.5792846288278656
2,1,N,7,0,3,0,5.405238885206489
2,1,N,1,5,4,1,7.532982125573152
1,1,N,11,2,1,0,0.5049354881874881
1,2,N,16,0,3,0,14.045180517821288
1,1,N,13,6,1,1,4.326606986988868
2,1,N,13,4,3,0,6.1641300259063465
1,1,N,16,4,3,0,4.06376237767369
2,3,N,12,2,5,0,9.681330479920618
1,2,N,18,1,4,0,3.560581126778686
1,1,N,22,6,1,1,1.078185720133524
2,1,N,17,2,3,0,3.3546154511140887
2,1,N,6,2,1,0,1.3081229260382297
1,1,N,7,1,4,0,0.7516988461005222
2,1,N,16,2,3,0,8.193665779383842
2,1,N,6,0,3,0,3.904162637648647
1,2,N,11,6,1,1,0.4865829176595565
1,1,N,18,6,3,1,7.076045203301267
2,1,N,2,2,1,0,10.541498737548118
2,1,N,14,0,2,0,12.88844275017902
1,1,N,15,1,5,0,0.3786468820562227
2,3,N,12,1,3,0,5.123379281465332
2,1,N,22,5,5,1,3.0996862730247368
2,1,N,17,6,3,1,1.5821254568710357
2,2,N,12,6,4,1,4.4502300014271015
1,1,N,14,0,1,0,2.600510620462829
2,1,N,1,5,1,1,9.610567706251654
1,1,N,22,4,2,0,0.9773162073461946
1,1,N,7,3,1,0,4.369002859796632
1,2,N,16,6,3,1,2.830945127648815
1,1,N,6,4,1,0,11.691452187997175
2,1,N,12,1,2,0,1.1091653100870775
2,4,N,13,3,3,0,1.263269523517524
1,1,N,1,6,4,1,0.7648096445890255
1,1,N,20,1,1,0,3.0151154468905053
1,2,N,9,2,1,0,3.710756662046931
1,2,N,15,3,1,0,19.17007158192984
2,2,N,13,4,3,0,0.8832828371109548
1,1,N,6,2,3,0,3.8630943887012377
2,2,N,13,2,5,0,2.9349821669984357
1,1,N,18,3,3,0,2.1361190405253447
2,2,N,8,6,5,1,1.4584778055665346
2,1,N,19,5,3,1,1.638042113209456
2,5,N,18,4,4,0,1.5098589281246566
1,1,N,12,4,1,0,1.7208576911920326
2,1,N,14,4,4,0,2.66880225813634
1,1,N,10,0,5,0,2.535656905380957
1,2,N,20,1,3,0,2.067767539810583
1,2,N,20,3,2,0,1.4140211613216462
2,6,N,0,3,2,0,2.743742639982645
1,2,N,21,4,2,0,1.130487356941826
2,5,N,13,6,3,1,0.9333460226349344
2,5,N,20,5,4,1,0.652333219099524
2,1,N,14,4,5,0,7.054735369762748
2,1,N,13,4,4,0,1.934609879008187
2,6,N,13,0,1,0,1.8152194869088285
2,1,N,22,4,1,0,2.315587717640462
2,1,N,18,5,4,1,1.7295532057059162
2,1,N,21,3,4,0,3.2641703944202685
2,1,N,20,2,2,0,2.849796088380251
2,1,N,1,5,2,1,1.498335564084519
2,5,N,21,3,4,0,1.7030297450473204
1,1,N,10,5,5,1,4.422863082650838
2,1,N,15,0,4,0,1.2360705240865335
2,5,N,9,0,2,0,2.4036075846749165
1,1,N,7,1,3,0,0.9651573266880342
2,5,N,17,4,2,0,1.3029662941331104
2,3,N,15,4,1,0,1.7400202788123795
2,1,N,22,1,3,0,15.21799947881308
2,1,N,18,4,2,0,1.6759479915322384
2,2,N,13,3,2,0,0.8561871501405389
1,1,N,0,3,2,0,6.602178260464818
2,5,N,10,3,1,0,1.2652062289818211
1,1,N,12,3,4,0,0.918326372689628
1,1,N,22,1,1,0,4.632280289196379
2,1,N,21,5,3,1,2.166978217827667
1,2,N,22,4,2,0,15.718092287585998
1,1,N,18,2,1,0,0.5238149521588094
1,1,N,13,3,3,0,1.8926505527535955
1,1,N,21,6,1,1,2.702206064526571
1,2,N,21,1,1,0,21.936537196830823
1,1,N,13,4,2,0,0.6650150428219872
2,1,N,19,2,4,0,1.1955281656731565
2,6,N,22,2,3,0,14.386284791230729
2,5,N,0,6,4,1,0.7642336941207738
2,1,N,5,3,1,0,1.802731876253584
2,1,N,16,1,1,0,1.893982113454126
1,1,N,17,0,5,0,2.2327073200343297
1,1,N,19,2,1,0,0.5015304323860581
2,1,N,17,0,3,0,1.1312404343253626
1,1,N,9,4,2,0,1.7357319009729653
1,3,N,22,5,4,1,3.629625787338108
2,1,N,4,1,2,0,2.698649891113307
1,1,N,3,5,5,1,4.439519371953964
2,1,N,7,3,2,0,1.6159907928731942
1,2,N,0,6,3,1,1.4744424921792438
2,1,N,20,0,3,0,21.4341795009802
2,1,N,19,2,4,0,2.2569674162937607
1,2,N,8,5,2,1,1.4740079229966168
2,2,N,22,5,3,1,1.6009709823646383
2,1,N,19,2,1,0,2.791120541574782
2,1,N,19,1,4,0,1.1795413579281375
2,1,N,9,3,2,0,3.0445700936824696
2,1,N,17,4,4,0,1.9788495314376413
2,1,N,10,0,4,0,1.943416516548216
1,2,N,14,3,2,0,0.8041160438813728
1,1,N,3,6,5,1,1.5693680874974176
1,1,N,1,4,3,0,34.073080825693374
2,1,N,9,0,5,0,0.8192143188775458
1,1,N,22,4,3,0,0.5099410222655965
2,2,N,7,3,3,0,1.7449297830655628
1,1,N,6,1,3,0,3.904999279554706
2,5,N,16,3,2,0,1.0031573490713517
1,1,N,2,5,3,1,3.3147120553847578
1,1,N,17,6,2,1,1.3127985423128874
1,2,N,0,4,2,0,0.4756177620314936
2,1,N,17,3,2,0,1.7218302388109412
2,1,N,17,6,2,1,3.447600909685908
2,5,N,16,0,5,0,3.4678495318230507
1,1,N,21,5,4,1,1.4539226454976455
1,1,N,21,6,3,1,1.039711668515122
2,1,N,22,3,5,0,2.100534824578549
1,1,N,10,1,2,0,2.746362648723285
2,1,N,21,1,3,0,3.31023429836464
2,1,N,15,5,2,1,2.683846360293109
2,2,N,8,3,1,0,2.1697100874442854
2,5,N,16,6,2,1,8.88683250323116
1,1,N,8,2,5,0,6.314573059455662
2,1,N,12,3,1,0,1.2886795192362337
1,1,N,21,4,1,0,2.563112018723283
2,1,N,18,0,1,0,1.3569562841808689
1,1,N,8,2,5,0,1.4797067831127486
2,1,N,11,6,4,1,7.195568072711148
1,1,N,18,0,1,0,5.336359047328105
2,1,N,17,6,3,1,0.5694565454067572
2,1,N,17,6,4,1,1.4272430896353037
1,2,N,21,6,5,1,2.698313308155794
2,2,N,14,6,1,1,5.381361994390248
2,3,N,17,2,5,0,1.266595233603412
2,1,N,8,6,3,1,1.255615817740887
1,2,N,22,6,5,1,2.700726155711456
1,1,Y,18,6,3,1,0.56626295473891
2,4,N,14,1,4,0,12.35732180709258
1,1,N,17,6,3,1,0.8780540826112233
1,1,N,2,6,4,1,4.089044442701847
2,1,N,20,1,1,0,2.969134315808629
2,1,N,17,3,4,0,0.7550723290052752
1,1,N,15,4,1,0,1.4492207760445175
2,2,N,10,0,4,0,2.97613130825588
1,1,N,8,0,3,0,2.049492718359411
1,1,N,23,5,5,1,5.2406161982410975
1,1,N,12,1,5,0,1.4733580152184556
2,1,N,21,1,2,0,2.674905919951789
1,1,N,8,4,2,0,2.8440582780572354
2,1,N,9,5,2,1,2.783851214724854
2,2,N,10,3,1,0,1.553044524945724
2,2,N,22,2,4,0,3.877063194690684
2,1,N,19,2,5,0,2.87254519709246
1,1,N,18,0,2,0,0.5552376585491153
1,1,N,23,5,1,1,10.886755461705782
1,1,N,20,3,2,0,9.099510866088478
2,5,N,18,1,2,0,2.010743027223768
1,1,N,2,2,2,0,1.0802736423261798
1,1,N,20,0,2,0,0.0094200067188692
2,2,N,14,5,1,1,1.411253973021944
2,1,N,14,4,3,0,1.3560183208415744
2,1,N,21,4,5,0,2.6571482218155364
2,5,N,9,3,4,0,1.7178163690975086
1,1,N,16,3,2,0,1.2925907821255391
1,1,N,6,0,2,0,3.075939152776663
2,1,N,22,6,4,1,0.7566328172002854
1,2,N,22,5,2,1,1.081835865011694
1,1,N,5,2,5,0,2.0364220101465187
2,2,N,18,5,4,1,4.902455741254724
1,1,N,17,2,3,0,3.3686954432506937
2,1,N,0,2,2,0,14.558858591955625
2,1,N,1,6,5,1,4.920475930547332
2,1,N,9,3,5,0,1.406828634416566
1,2,N,18,3,5,0,1.5605111627807096
1,3,N,20,5,4,1,2.528715879655536
2,1,N,13,5,4,1,4.374489277464958
2,2,N,20,0,5,0,3.1533306677929223
2,1,N,10,2,1,0,2.183695961118015
1,1,N,18,1,2,0,0.078005128370164
2,3,N,10,0,2,0,1.7201046182743784
1,1,N,23,4,3,0,1.6199498167408022
1,1,N,8,2,3,0,0.6748302999875134
2,1,N,16,5,5,1,5.579719301037738
2,1,N,17,0,4,0,3.9230329270317097
1,1,N,18,5,2,1,1.750227951055521
1,1,N,5,1,2,0,0.6791980255683501
2,1,N,19,4,1,0,2.043753235537201
1,1,N,17,5,1,1,1.1283789737302867
2,2,N,4,5,1,1,4.235550576190388
2,1,N,13,4,1,0,1.2657218968912731
2,1,N,17,5,2,1,7.398422777703466
2,1,N,9,4,5,0,2.4517651071240536
2,1,N,12,6,5,1,1.5824221807162302
2,2,N,14,0,4,0,0.6154522250554133
2,1,N,13,3,2,0,1.239160768810028
1,1,N,21,1,5,0,0.9437734139151844
1,1,N,21,1,3,0,16.46678599983337
2,2,N,2,4,1,0,7.868203927365533
1,1,N,23,2,1,0,4.239362231463605
1,1,N,15,4,3,0,2.9611823011151213
1,1,N,16,4,3,0,1.788016509939753
1,1,N,0,1,3,0,0.3845450459146393
2,1,N,18,3,2,0,3.065581571848732
1,1,N,22,4,2,0,1.872652817715222
1,1,N,15,1,3,0,9.612922693326706
1,1,N,12,2,2,0,0.2796642919916846
1,1,N,17,6,4,1,5.190392762845085
1,1,N,2,4,1,0,4.4735788596829815
2,1,N,4,5,4,1,0.6226652444938516
2,1,N,20,2,2,0,1.5756721002505585
1,1,N,7,2,5,0,2.462211671977324
2,1,N,13,0,2,0,1.0265186514507565
1,1,N,16,5,5,1,2.43768825650881
1,1,N,8,4,2,0,0.8284665451005184
1,1,N,21,1,4,0,2.642140691591898
2,2,N,16,5,4,1,1.1475701556367195
1,1,N,18,4,1,0,4.532971352814145
2,5,N,15,4,2,0,0.3922191807121003
2,1,N,18,5,3,1,5.238645175749587
2,1,N,9,4,5,0,1.2568228055601605
2,1,N,10,4,1,0,1.5978178988161609
1,1,N,12,6,4,1,1.1962971648919138
2,2,N,11,1,2,0,0.4954868699119854
1,1,N,13,2,5,0,0.7240278976271697
2,5,N,8,4,1,0,4.776658828634138
2,1,N,1,5,2,1,11.624177952524883
1,1,N,16,2,4,0,0.3959306789577217
2,1,N,20,4,4,0,0.5597058060373103
1,1,N,10,0,3,0,3.14604219321707
1,1,N,11,2,2,0,0.8422252352682259
2,1,N,7,0,4,0,3.1330973578539423
1,1,N,14,6,1,1,4.199636698697116
1,1,N,5,4,2,0,10.17128158594919
2,1,N,2,4,2,0,17.327488783853507
2,2,N,11,3,3,0,2.921219683270475
1,1,N,9,2,2,0,1.4424880681255847
2,1,N,19,5,3,1,2.6032452763597647
1,1,N,6,0,4,0,7.501550489294965
2,1,N,14,5,2,1,2.839662392630115
2,2,N,12,6,5,1,0.8511106971974157
2,5,N,9,3,3,0,3.998640049142221
1,1,N,7,4,5,0,10.430333377504386
1,1,N,11,2,5,0,2.2112857508237846
2,1,N,21,6,2,1,6.826632698353757
2,1,N,15,6,2,1,2.6094663756906287
2,1,N,23,4,2,0,5.767396159749159
1,1,N,15,2,1,0,0.8669106313193545
1,1,N,4,5,1,1,1.2379250093317071
1,2,N,23,3,4,0,0.043968102652515
2,3,N,18,5,3,1,0.6806719360399721
2,1,N,13,5,4,1,0.9737528309997836
1,1,N,14,0,1,0,2.9833893681562094
1,1,N,20,3,3,0,0.8610841985057545
2,1,N,17,2,1,0,1.9743040154666884
2,1,N,6,3,1,0,5.493499219012945
2,1,N,7,1,1,0,4.031381781328774
2,1,N,11,5,1,1,1.0948965034738962
2,1,N,1,4,1,0,0.7448330447943259
2,6,N,10,1,5,0,0.8481551635444241
2,1,N,1,6,1,1,2.439498269806916
1,3,N,2,5,2,1,2.463191366448311
1,1,N,19,1,1,0,1.2316688475576132
1,1,N,19,5,4,1,3.615367546070192
2,5,N,23,4,1,0,1.835364351566355
1,1,N,21,3,3,0,1.775746688243364
2,1,N,8,5,3,1,2.315484451537634
1,3,N,13,5,5,1,6.643729928450423
1,1,N,13,2,5,0,27.9355210883076
2,1,N,16,4,2,0,1.108860592375904
1,2,N,15,1,3,0,2.251344388705069
1,2,N,17,4,1,0,2.5950093499911917
1,1,N,9,4,3,0,6.490088340444753
2,1,N,9,1,2,0,8.990297133693373
2,1,N,14,5,4,1,0.981520724826014
1,2,N,19,1,2,0,3.072757509860376
2,6,N,21,0,1,0,1.416511998675179
2,1,N,14,5,4,1,8.709001677383037
1,1,N,23,4,4,0,5.196295415201446
1,3,N,9,0,4,0,0.811389192333174
1,1,N,9,0,4,0,4.162199453252768
1,1,N,16,3,3,0,0.8257812187629888
2,1,N,20,2,4,0,8.396816757476826
2,1,N,14,1,3,0,2.9913485925575887
1,1,N,10,3,3,0,1.1795113690842385
1,1,N,23,3,4,0,8.023064396976633
2,5,N,15,1,3,0,4.542488290048124
1,1,N,17,1,1,0,4.216023806911978
1,1,N,8,1,4,0,0.794299395394799
2,1,N,21,6,2,1,2.975806178756906
2,6,N,6,2,3,0,18.284388931103347
1,1,N,17,5,2,1,1.2511861089186085
1,1,N,13,6,2,1,2.6023323357720733
2,2,N,15,3,3,0,21.12476364011119
2,1,N,21,4,5,0,1.9307791857341423
2,1,N,0,5,4,1,0.4734530591012823
2,6,N,17,1,3,0,2.833486452956329
2,1,N,1,4,2,0,8.262485089219002
2,1,N,22,6,3,1,6.962851650623092
1,1,N,8,4,4,0,4.4455305529427465
2,1,N,11,1,1,0,0.7647367926237715
1,1,N,18,4,2,0,1.656456074327668
1,1,N,8,2,5,0,1.2061870005774205
2,1,N,18,4,2,0,2.9155150376566543
2,1,N,8,3,3,0,9.50409980551814
2,1,N,12,0,1,0,3.3282924708029547
2,1,N,19,4,1,0,1.067666485926393
1,1,N,21,3,2,0,4.966411552069054
2,1,N,0,6,5,1,6.668888273333991
1,2,N,22,1,3,0,3.850584939481696
1,2,N,9,6,2,1,8.465748287188314
1,1,N,16,3,3,0,2.8315361000875363
2,5,N,3,6,3,1,6.820495743343405
1,1,N,22,1,3,0,1.5845879896498258
2,1,N,13,5,4,1,5.873931928683753
2,2,N,17,6,2,1,2.2119420412024557
2,1,N,16,0,2,0,1.4646432005564658
1,1,N,19,2,5,0,1.1450094661730073
1,1,N,14,0,4,0,2.0183209585257624
1,1,N,14,1,2,0,0.9857201245760152
2,1,N,9,2,5,0,4.251312452695758
1,2,N,0,6,2,1,6.279810985029464
2,2,N,17,3,3,0,4.54117914177876
1,2,N,13,3,3,0,2.660012329455881
1,1,N,16,1,5,0,1.335461786433377
2,3,N,20,6,5,1,1.5316016023124577
2,1,N,15,3,1,0,9.14888764622015
1,1,N,21,4,1,0,0.5851765894441678
1,1,N,11,5,3,1,1.0442522386469444
1,1,N,18,2,4,0,20.734382208504403
1,1,N,11,3,3,0,1.2482713923138025
2,1,N,21,1,2,0,2.068968585779276
2,1,N,2,4,1,0,0.4825622593426106
2,2,N,9,0,2,0,1.2704507467943322
2,1,N,9,3,3,0,5.481036584351747
1,1,N,15,1,1,0,1.9962192657840996
2,1,N,16,0,3,0,1.2320101528686105
1,1,N,7,2,1,0,0.5200483050801615
2,1,N,23,4,2,0,7.088107228824821
2,1,N,22,4,3,0,7.527415570305348
1,1,N,21,3,3,0,1.696376857582086
1,4,N,16,4,1,0,2.193068918481924
2,1,N,15,2,4,0,1.7106574372611238
1,1,N,12,6,1,1,1.7600834244402217
2,1,N,21,3,2,0,18.33014528746582
1,1,N,6,3,4,0,1.769012347941098
1,1,N,7,4,2,0,1.1955945867110127
2,4,N,0,4,3,0,4.126251749253275
1,1,N,10,2,4,0,1.438201430412459
2,1,N,9,3,2,0,2.1722649696866267
2,1,N,21,5,4,1,16.366047818622025
2,5,N,0,0,2,0,0.8082616872957443
1,1,N,5,3,1,0,4.72993281560529
2,1,N,7,3,2,0,2.147012176326356
1,1,N,18,4,1,0,3.268348873180213
2,1,N,9,0,1,0,1.483797252689079
2,1,N,1,6,1,1,2.979958929004046
2,1,N,15,3,1,0,6.4780222194508434
1,1,N,7,2,3,0,3.941769049729809
1,1,N,18,4,1,0,1.14701014271915
1,3,N,10,3,1,0,5.688795737054863
