vendor_id,passenger_count,store_and_fwd_flag,pickup_hour,pickup_day_of_week,pickup_month,is_weekend,distance_km,predicted_eta,actual_eta
1,1,N,3,1,5,0,0.9459342172321829,123.384315,192
1,3,N,3,1,5,0,1.2724811083778858,422.32144,250
1,1,N,3,1,5,0,0.7669222756126519,152.59293,121
1,1,N,3,1,5,0,2.2816033826555424,505.6875,615
2,1,N,3,1,5,0,4.0694054941694375,568.78143,554
1,1,N,3,1,5,0,3.090587839239161,394.41147,711
1,1,N,3,1,5,0,1.5714593450917196,213.1102,469
1,1,N,3,1,5,0,2.93434215375036,314.69604,573
1,1,N,3,1,5,0,3.962723591361329,686.1308,682
2,1,N,3,1,5,0,0.8573700354052562,14.158212,453
2,1,N,3,1,5,0,10.753911118193898,1948.281,1487
2,6,N,3,1,5,0,3.788012555939847,357.38458,547
2,1,N,3,1,5,0,18.42094588687849,1146.054,1245
2,1,N,3,1,5,0,0.7270980843990349,-253.65678,190
1,1,N,3,1,5,0,4.848924667586562,663.47253,531
2,1,N,3,1,5,0,12.555789749163084,1789.4825,2096
1,1,N,3,1,5,0,3.224045717654469,331.52576,539
2,5,N,3,1,5,0,5.853829936868915,585.60803,1003
1,1,N,3,1,5,0,7.204153276653382,906.7837,850
2,1,N,3,1,5,0,12.624153457138442,1789.4825,1355
1,1,N,3,1,5,0,7.204256277824104,906.7837,1114
1,1,N,3,1,5,0,0.832098866068196,237.04666,159
2,1,N,3,1,5,0,2.111673700689017,386.48828,258
1,1,N,3,1,5,0,6.008094251168198,885.9874,857
2,1,N,3,1,5,0,10.539902704474546,1948.281,1864
1,1,N,3,1,5,0,7.812464370457025,998.3999,1309
1,1,N,3,1,5,0,0.4066420170151265,91.51257,163
2,1,N,3,1,5,0,1.7668791458971285,216.29309,264
2,1,N,3,1,5,0,8.141135336401502,928.44135,757
1,1,N,3,1,5,0,1.3417684543212205,164.80959,160
2,1,N,3,1,5,0,1.054761730565509,-53.93412,304
2,1,N,3,1,5,0,1.3474828830449888,100.27471,376
1,1,N,3,1,5,0,1.9152402565927549,262.20374,402
2,1,N,3,1,5,0,3.165765817076998,1626.0413,329
2,2,N,3,1,5,0,3.2294409171385805,395.9921,821
1,1,N,3,1,5,0,8.620617507211817,978.6369,889
1,1,N,3,1,5,0,1.275073789875723,216.71501,328
1,1,N,3,1,5,0,15.646732998381074,1151.7352,1857
1,1,N,3,1,5,0,2.0948174875962366,492.7138,503
2,1,N,3,1,5,0,3.597116990743241,301.59583,1191
1,1,N,4,1,5,0,3.2301832736354568,450.16022,349
1,1,N,4,1,5,0,6.292218229201684,921.4827,977
1,2,N,4,1,5,0,9.587028679566323,1313.2607,1360
2,3,N,4,1,5,0,3.81237582614448,258.83176,774
1,2,N,4,1,5,0,9.359443231746626,1402.9669,1440
1,1,N,4,1,5,0,0.967232386733838,271.54617,71
1,1,N,4,1,5,0,1.391577963332004,269.5929,235
2,1,N,4,1,5,0,7.741365128319956,1181.9158,1080
1,1,N,4,1,5,0,13.576531473921396,1426.673,1046
2,1,N,4,1,5,0,3.3551565735711586,923.72565,703
2,1,N,4,1,5,0,8.852044171161301,964.0399,1300
1,1,N,4,1,5,0,5.594818427787366,876.219,806
2,1,N,4,1,5,0,3.4160378066512296,798.8419,507
1,1,N,4,1,5,0,3.970757278216112,754.63416,446
2,1,N,4,1,5,0,0.4601952908973126,26.621004,89
2,4,N,4,1,5,0,1.9318059765611533,-117.2464,1028
2,1,N,4,1,5,0,6.236937377493668,540.06824,1206
1,2,N,4,1,5,0,10.58630254500461,1387.1781,975
1,1,N,4,1,5,0,2.797596478354845,553.00916,487
1,1,N,4,1,5,0,8.009860840457485,1138.9218,1351
1,1,N,4,1,5,0,0.7676703425380496,250.35667,93
1,1,N,4,1,5,0,0.5545767465931665,233.61113,52
1,3,N,4,1,5,0,5.465962993613727,1154.3208,997
2,6,N,4,1,5,0,12.06314787778725,2113.8223,2875
1,2,N,4,1,5,0,4.799747783897803,1007.43134,1218
1,1,N,4,1,5,0,10.332471649391994,1327.775,1213
1,1,N,4,1,5,0,3.958531403311636,754.63416,709
1,1,N,4,1,5,0,7.285252824060314,1134.6782,1335
1,1,N,4,1,5,0,3.307042197688048,645.56256,832
1,1,N,4,1,5,0,4.76326339494424,820.2902,835
2,5,N,4,1,5,0,7.048888065509513,421.72443,992
1,2,N,4,1,5,0,10.394880847222373,1602.0072,1113
1,1,N,4,1,5,0,7.771139918988917,1099.6052,1447
1,1,N,4,1,5,0,1.675135803215286,338.30408,330
1,1,N,4,1,5,0,1.1027491067120885,387.50806,419
2,1,N,4,1,5,0,19.227494054839976,1294.6532,1590
1,1,N,4,1,5,0,7.083869918578855,968.7516,1331
1,1,N,4,1,5,0,2.400485862659986,925.8685,306
1,2,N,4,1,5,0,19.7516178864073,1677.9749,1880
1,1,N,4,1,5,0,8.92169257278747,1153.1974,1194
2,1,N,4,1,5,0,4.360471467440583,670.0897,475
2,1,N,4,1,5,0,9.19971419001457,954.9953,1460
2,5,N,4,1,5,0,20.57011684981775,906.5343,1615
2,1,N,4,1,5,0,6.914482525385192,959.28326,969
2,1,N,4,1,5,0,2.129594330770352,723.5064,241
1,1,N,4,1,5,0,1.3392949224554724,309.20663,355
2,1,N,4,1,5,0,19.641646627150138,1589.502,1488
2,1,N,4,1,5,0,14.393646816797444,1213.2609,1259
2,1,N,4,1,5,0,5.757759307562074,705.6663,661
1,1,N,4,1,5,0,0.9850706552109864,272.87958,181
2,1,N,4,1,5,0,10.279134848454262,1065.1719,1392
1,1,N,4,1,5,0,3.6172629715014657,596.7706,655
2,1,N,4,1,5,0,18.29375939294064,1294.6532,1593
1,2,N,5,1,5,0,12.687783702212956,1960.149,1504
1,1,N,5,1,5,0,0.423639059796406,57.602703,86
2,3,N,5,1,5,0,20.295566780719945,3118.1719,1408
2,2,N,5,1,5,0,1.1291174872872538,614.26874,167
2,2,N,5,1,5,0,1.1306603843501266,614.26874,150
1,2,N,5,1,5,0,8.805122214448847,1253.2711,1325
2,3,N,5,1,5,0,2.6648086178616563,1053.2112,506
1,1,N,5,1,5,0,20.928243841728392,2003.4017,1999
1,1,N,5,1,5,0,3.6294020228971657,510.06903,685
1,1,N,5,1,5,0,10.936283171477864,1168.7098,1389
2,1,N,5,1,5,0,19.807933965230408,2371.3074,2019
1,1,N,5,1,5,0,1.3612861887870502,178.90823,184
2,1,N,5,1,5,0,0.5822372014524679,159.40465,223
1,2,Y,5,1,5,0,1.3964375399479552,491.51483,233
2,2,N,5,1,5,0,0.9689126239860136,846.35223,230
1,1,N,5,1,5,0,2.026631403922258,312.56146,394
1,1,N,5,1,5,0,1.0598619828497595,157.58443,94
2,1,N,5,1,5,0,3.7278619871806575,1207.1663,462
2,1,N,5,1,5,0,0.9085517559787816,151.1504,151
1,1,N,5,1,5,0,5.936705333847892,866.97156,1055
2,2,N,5,1,5,0,22.3023521815208,17292.121,2299
2,2,N,5,1,5,0,1.204261501671726,809.057,131
1,3,N,5,1,5,0,20.553176051193844,2482.9314,2259
1,2,N,5,1,5,0,1.975331163888604,434.8457,281
1,2,Y,5,1,5,0,0.6069907947716542,423.56583,54
1,1,N,5,1,5,0,7.790739941968575,1046.4116,860
1,1,N,5,1,5,0,1.0446085237322953,112.91677,253
2,1,N,5,1,5,0,20.19243120961944,2795.9453,2199
1,1,N,5,1,5,0,1.1764346499365428,107.8305,177
2,6,N,5,1,5,0,2.9759710511330324,1349.0411,461
1,1,N,5,1,5,0,8.382794193482955,1038.1549,1121
2,1,N,5,1,5,0,1.4498891730609744,423.49777,666
2,1,N,5,1,5,0,1.35641389655046,277.6909,166
1,1,N,5,1,5,0,1.776531253326869,248.21379,304
1,1,N,5,1,5,0,2.986170204853833,309.75266,470
2,5,N,5,1,5,0,1.8998706563703265,375.66138,192
1,1,N,5,1,5,0,1.6203033958473236,207.19052,361
2,1,N,5,1,5,0,8.751698275110828,1199.5623,1052
1,1,N,5,1,5,0,4.107928413406089,740.451,375
2,1,N,5,1,5,0,22.53162868712023,8882.772,2001
1,1,N,5,1,5,0,0.0,5.7982297,11
1,1,N,5,1,5,0,0.2451861857271356,268.2934,322
2,6,N,5,1,5,0,3.92253761054479,448.37222,595
1,1,N,5,1,5,0,1.7563713745172471,129.00867,215
2,1,N,5,1,5,0,15.605375114700925,1319.8654,1682
2,2,N,5,1,5,0,0.8799640453757794,513.51544,224
1,1,N,5,1,5,0,0.4800045653371721,43.537823,85
1,1,N,5,1,5,0,6.706859086720488,1025.0388,744
1,1,N,5,1,5,0,1.4954748941329383,225.34264,273
2,5,N,5,1,5,0,1.4769535084337275,328.4067,240
2,1,N,5,1,5,0,10.227037386915516,1508.7633,1719
2,1,N,5,1,5,0,3.193962063667755,515.2964,611
1,1,N,5,1,5,0,1.0921279426318502,248.9628,119
2,1,N,5,1,5,0,1.0442660832231452,70.77313,186
1,1,N,5,1,5,0,0.5526312900112579,117.55335,191
1,1,Y,5,1,5,0,1.4058622756793542,69.268486,226
1,1,N,5,1,5,0,4.101300948068882,740.451,805
2,6,N,5,1,5,0,21.399439277138114,4681.7925,4457
1,1,N,5,1,5,0,5.267940906563652,695.7361,894
2,1,N,5,1,5,0,5.398801270099477,802.4578,896
1,1,N,5,1,5,0,1.2649697703136715,273.50937,342
2,5,N,5,1,5,0,1.3768937162846957,103.16028,193
2,5,N,5,1,5,0,3.607252754203893,545.86127,444
2,1,N,5,1,5,0,1.465564593385667,470.75296,431
1,1,N,5,1,5,0,1.52674162881681,217.1615,425
2,4,N,5,1,5,0,2.510742808833057,375.9777,308
2,5,N,5,1,5,0,1.7990080909692014,475.6318,776
1,1,N,5,1,5,0,2.0702116948592644,232.35036,174
2,6,N,5,1,5,0,4.486870054786997,62.353104,491
1,1,N,5,1,5,0,6.061044457664528,814.338,832
2,5,N,5,1,5,0,5.286186163520027,989.72394,555
2,1,N,5,1,5,0,21.579274974081898,6425.309,2975
2,1,N,5,1,5,0,4.134611672549805,933.57117,484
2,1,N,5,1,5,0,6.933915637429779,1329.2559,1003
2,1,N,5,1,5,0,1.206017360924663,730.5642,247
2,2,N,5,1,5,0,1.5144696262095043,596.18854,446
2,1,N,5,1,5,0,0.7019879460742487,480.54578,55
2,1,N,5,1,5,0,3.866746776362743,1322.2435,697
2,2,N,5,1,5,0,2.7168189314828823,424.0872,421
1,1,N,5,1,5,0,2.9573313386443267,359.66562,696
1,1,N,5,1,5,0,1.737024898404409,266.5771,391
2,5,N,5,1,5,0,4.521926958175491,357.6395,633
1,3,N,6,1,5,0,3.6679097871067015,764.2638,711
1,1,N,6,1,5,0,1.5480985640119818,363.5674,305
1,1,N,6,1,5,0,2.9627539869826887,563.1729,745
1,1,N,6,1,5,0,1.5490116840704695,363.5674,246
1,1,N,6,1,5,0,4.125853380498907,879.17206,588
2,1,N,6,1,5,0,21.242318739408528,3681.948,2907
1,1,N,6,1,5,0,1.855987322582053,439.8865,291
1,1,N,6,1,5,0,9.819878659643756,1692.5691,1726
2,1,N,6,1,5,0,3.0310839740262154,732.49084,594
1,1,N,6,1,5,0,0.5113192103380801,191.44879,62
1,1,N,6,1,5,0,9.128274906241725,1320.2626,980
2,2,N,6,1,5,0,1.542005251916602,374.05933,343
1,1,N,6,1,5,0,0.7391937892239425,205.80031,262
2,2,N,6,1,5,0,6.615385412513343,3052.6655,989
1,1,N,6,1,5,0,1.032988631622391,244.5303,167
1,1,N,6,1,5,0,7.080502813800527,1147.2577,783
1,1,N,6,1,5,0,1.7936357033473769,766.93304,353
2,2,N,6,1,5,0,2.124591199908165,442.05777,192
1,1,N,6,1,5,0,2.309331218944751,703.84973,481
1,1,N,6,1,5,0,2.47699846195903,532.7763,415
1,1,N,6,1,5,0,2.877772117851712,541.38605,335
1,1,N,6,1,5,0,2.08215591258989,387.60336,474
1,1,N,6,1,5,0,0.7611025984656267,211.92802,163
2,1,N,6,1,5,0,5.698434980953575,926.25336,705
1,1,N,6,1,5,0,3.9101866661560174,797.89496,579
2,6,N,6,1,5,0,5.587696111226105,1400.3428,1162
1,1,N,6,1,5,0,3.618005827298916,737.2922,674
1,1,N,6,1,5,0,1.0248914049311604,243.18512,161
1,1,N,6,1,5,0,1.0321275288207967,244.5303,176
1,1,N,6,1,5,0,6.665570193749982,1159.5533,879
2,1,N,6,1,5,0,2.08727910914628,608.78766,554
1,1,N,6,1,5,0,8.874186086260982,1178.1233,1242
1,1,N,6,1,5,0,0.8024144417697849,197.8637,223
2,5,N,6,1,5,0,1.367538032032416,-28.230501,388
1,1,N,6,1,5,0,5.461325164086444,885.0714,825
1,1,N,6,1,5,0,3.771856026016496,822.7225,553
1,1,N,6,1,5,0,1.2582236519074372,279.16125,143
1,1,N,6,1,5,0,1.6151669440862462,358.50885,366
1,1,N,6,1,5,0,4.387937316642415,850.51526,846
2,1,N,6,1,5,0,23.05766157971913,5525.072,2504
1,1,N,6,1,5,0,2.284101139304609,650.984,421
2,1,N,6,1,5,0,0.9626506419268916,117.637276,101
1,1,N,6,1,5,0,9.657686157693668,1692.5691,1357
2,1,N,6,1,5,0,2.0268704112406115,858.6581,750
1,1,N,6,1,5,0,1.3213547836488453,301.95816,353
1,1,N,6,1,5,0,2.26076932447217,473.61957,592
2,5,N,6,1,5,0,1.269478287164904,188.34355,275
2,1,N,6,1,5,0,4.461861815022192,870.21155,1088
1,1,N,6,1,5,0,1.8667724197954625,504.02808,337
2,1,N,6,1,5,0,3.478709286742945,651.9762,747
2,1,N,6,1,5,0,5.285547609897875,988.9875,582
1,1,N,6,1,5,0,2.3075132800335503,703.84973,512
1,1,N,6,1,5,0,1.1710848485278496,249.5431,296
2,1,N,6,1,5,0,19.362879642460243,2904.9702,1767
1,1,N,6,1,5,0,1.8971275527847733,529.34753,349
1,1,N,6,1,5,0,3.324976156166072,528.4989,825
2,1,N,6,1,5,0,3.658932503809049,881.56995,812
2,1,N,6,1,5,0,1.2814772048588845,371.54132,338
2,2,N,6,1,5,0,21.02384464873273,3050.9736,3350
2,1,N,6,1,5,0,2.042411933648039,674.07336,321
2,1,N,6,1,5,0,4.537587294078696,911.366,904
2,1,N,6,1,5,0,6.29401967296625,821.6391,1451
2,1,N,6,1,5,0,0.5593429570951286,21.530043,377
1,1,N,6,1,5,0,3.8162450268934074,758.80865,582
1,1,N,6,1,5,0,20.112241144896533,3005.5671,3454
2,3,N,6,1,5,0,4.170735584382998,993.77936,648
1,1,N,6,1,5,0,2.650352084544668,538.66437,594
1,1,N,6,1,5,0,1.1815020711575055,249.5431,297
2,1,N,6,1,5,0,6.146414422280831,852.0162,883
1,1,N,6,1,5,0,0.8031026951460427,197.8637,116
2,1,N,6,1,5,0,3.24387696793747,663.57074,1094
1,1,N,6,1,5,0,1.0845155451143782,257.1047,330
1,1,N,6,1,5,0,2.79146751155592,499.5128,815
1,1,N,6,1,5,0,3.1015395987764376,640.44366,700
2,1,N,6,1,5,0,1.026313344732031,72.98994,257
1,1,N,6,1,5,0,3.4319635004226896,678.2443,816
1,1,N,6,1,5,0,2.563206218985295,519.63,521
1,1,N,6,1,5,0,5.620103634396888,980.7135,929
2,3,N,6,1,5,0,1.5316310485353124,606.6404,323
1,1,N,6,1,5,0,1.7048740168158902,385.96866,598
2,2,N,6,1,5,0,0.9896149304905744,274.6993,95
1,1,N,6,1,5,0,2.421145146419256,488.74774,357
1,1,N,6,1,5,0,2.332610918103543,571.6648,296
2,1,N,6,1,5,0,4.145595286109677,915.7887,771
1,1,N,6,1,5,0,3.1720580316855016,738.52545,625
2,5,N,6,1,5,0,2.491793188506773,80.573586,345
1,2,N,6,1,5,0,4.66012690891642,889.0997,845
2,1,N,6,1,5,0,4.312966773506157,1066.78,710
2,2,N,6,1,5,0,2.6023575402948538,668.1434,601
2,1,N,6,1,5,0,4.90902841565643,761.6109,1627
2,5,N,6,1,5,0,14.478695145082265,2110.4185,1860
2,1,N,6,1,5,0,1.094794125784724,198.39043,319
1,1,N,6,1,5,0,2.643936851198416,538.66437,503
1,1,N,6,1,5,0,1.315560982739404,282.54184,297
1,1,N,6,1,5,0,3.25257535308562,613.55426,580
1,1,N,6,1,5,0,2.82415945797487,755.567,661
1,1,N,6,1,5,0,4.0417987683666485,867.0312,648
1,1,N,6,1,5,0,1.879931279591582,427.9951,495
2,1,N,6,1,5,0,1.6601144000680084,518.3266,273
1,1,N,6,1,5,0,7.856334832400223,1164.5049,1447
1,2,N,6,1,5,0,0.7957050394999147,188.24403,276
2,1,N,6,1,5,0,1.802509933359808,1010.5173,422
2,1,N,6,1,5,0,3.945119581450085,1313.3273,751
1,1,N,6,1,5,0,5.635748783196284,980.7135,692
2,1,N,6,1,5,0,2.557164015885344,1174.4348,761
1,1,N,6,1,5,0,1.5050414794790072,338.74033,386
2,2,N,6,1,5,0,2.3975530845296644,1196.7853,352
2,5,N,6,1,5,0,3.070865470832456,304.36362,395
2,2,N,6,1,5,0,4.138785675432698,889.9912,1008
1,3,N,6,1,5,0,1.3609063629746316,730.2722,511
2,5,N,6,1,5,0,4.063724554337295,663.5396,845
2,1,N,6,1,5,0,21.76347311845197,3681.948,3540
1,1,N,6,1,5,0,1.898118715460818,529.34753,562
2,2,N,6,1,5,0,7.28683412956824,1394.1665,1434
2,1,N,6,1,5,0,1.766483559363922,416.71744,287
2,1,N,6,1,5,0,3.101499834231159,520.0648,564
1,1,N,6,1,5,0,4.017131358589486,867.0312,793
2,1,N,6,1,5,0,1.8420439535471904,579.7979,454
1,1,N,6,1,5,0,4.537196755579784,887.9657,821
1,1,N,6,1,5,0,1.1497188803020033,480.83194,339
1,1,N,6,1,5,0,2.485068494837946,537.61285,509
1,1,N,6,1,5,0,3.4553741841935994,678.2443,446
2,6,N,6,1,5,0,0.8191044480367714,-152.10297,189
2,2,N,6,1,5,0,2.265546655185891,331.18182,364
1,1,N,6,1,5,0,0.9333974013055204,223.99847,169
1,1,N,6,1,5,0,1.2815473563566615,286.27798,474
2,1,N,6,1,5,0,3.712873254704248,1333.8043,631
2,1,N,6,1,5,0,7.34096570412971,1325.273,1814
2,1,N,6,1,5,0,0.7208857047656787,36.01538,306
2,1,N,6,1,5,0,2.3212871052502866,874.18445,541
2,1,N,6,1,5,0,0.5594892756833906,214.91057,135
2,3,N,6,1,5,0,4.4148972045166985,802.6105,905
1,1,N,6,1,5,0,2.620321936368556,535.7252,585
1,1,N,6,1,5,0,3.278937080746804,606.2428,698
1,1,N,6,1,5,0,5.430558118026259,885.0714,1160
2,6,N,6,1,5,0,2.679783845379026,143.33566,661
2,6,N,6,1,5,0,1.2415368762588783,485.36227,254
2,1,N,6,1,5,0,4.918087295039158,761.6109,909
2,2,N,6,1,5,0,2.961131473790729,611.03815,755
2,3,N,6,1,5,0,4.929507421940366,939.32635,799
1,1,N,6,1,5,0,0.6817824193751048,249.24925,139
2,1,N,6,1,5,0,0.8581019244900506,194.68578,169
2,5,N,6,1,5,0,1.3776362126829511,46.189987,457
2,2,N,6,1,5,0,3.210751971272311,782.0279,568
1,1,N,6,1,5,0,2.9554376812770173,557.8801,593
2,1,N,6,1,5,0,2.893543113646259,417.57617,526
1,2,N,6,1,5,0,2.207425600921362,542.1792,625
1,1,N,6,1,5,0,6.19268419847001,945.7887,918
1,1,N,6,1,5,0,1.3401578567821577,301.83774,726
1,1,N,6,1,5,0,7.08699636231877,1147.2577,1071
2,1,N,6,1,5,0,1.318717462305014,304.13873,497
2,1,N,6,1,5,0,1.8985604496805613,849.48474,548
1,1,N,6,1,5,0,1.57623477445767,386.60458,249
2,1,N,6,1,5,0,0.9777229187886832,231.07784,321
1,1,N,6,1,5,0,1.4732873389591734,353.11578,398
2,1,N,6,1,5,0,9.482538151898384,1457.8524,1650
1,1,N,6,1,5,0,1.491200124033614,347.92523,230
2,3,N,6,1,5,0,11.019793876667476,5346.2417,1008
2,1,N,6,1,5,0,1.9652198244858583,396.9078,446
1,1,N,6,1,5,0,3.3136026500024527,528.4989,286
1,1,N,6,1,5,0,5.041357723054288,888.66364,955
2,1,N,6,1,5,0,3.630493188322324,881.56995,391
2,1,N,6,1,5,0,2.351407909669471,604.7549,364
2,1,N,6,1,5,0,0.7083004058203122,511.96243,151
2,1,N,6,1,5,0,3.816857763350341,692.8348,748
1,1,N,6,1,5,0,4.540336658071968,887.9657,704
2,1,N,6,1,5,0,0.7644472528177755,70.95467,172
1,1,N,6,1,5,0,3.7888340528712345,822.7225,777
1,1,N,6,1,5,0,8.640493256242463,1150.7219,859
2,1,N,6,1,5,0,0.8462377651337195,99.50231,467
2,3,N,6,1,5,0,0.6809726859290811,589.683,206
2,1,N,6,1,5,0,1.1131764177541106,159.8762,279
2,6,N,6,1,5,0,2.2707877527568576,60.48198,383
1,1,N,6,1,5,0,9.76330385294406,1692.5691,1062
2,6,N,6,1,5,0,1.0820912819743358,164.1666,243
2,6,N,6,1,5,0,0.3878864356260057,767.38666,170
1,1,N,6,1,5,0,0.5358431257143998,193.2518,141
2,1,N,6,1,5,0,6.444793060271477,1186.3871,1134
2,1,N,6,1,5,0,0.7713821965465004,170.18185,180
2,1,N,6,1,5,0,6.188790391790556,821.6391,1088
1,1,N,6,1,5,0,2.5434521484912382,509.80438,546
1,1,N,6,1,5,0,0.5521120995965048,197.29659,189
1,1,Y,6,1,5,0,5.393765905343724,826.70874,1288
2,5,N,6,1,5,0,2.9944077923759824,2799.9438,691
2,1,N,6,1,5,0,1.3387569561325512,208.06155,367
1,1,N,6,1,5,0,1.233886501217114,312.14532,438
2,2,N,6,1,5,0,1.5795988422738343,437.79077,429
2,2,N,6,1,5,0,0.4539479089363298,-112.02699,111
2,1,N,6,1,5,0,1.5301462206462226,455.45038,316
1,2,N,6,1,5,0,1.2349948514313185,360.56958,203
2,1,N,6,1,5,0,2.799490603939771,818.9318,516
1,1,N,6,1,5,0,4.240092004188072,942.6178,649
1,1,N,6,1,5,0,1.6580829766760794,409.42526,479
2,1,N,6,1,5,0,2.3009189010045805,933.2533,586
1,1,N,6,1,5,0,0.9526637131531126,226.46814,126
2,6,N,6,1,5,0,2.293858068740198,207.47337,654
1,1,N,6,1,5,0,4.457548505768678,892.06177,1037
1,1,N,6,1,5,0,8.28998225508344,1240.6573,2832
1,1,N,6,1,5,0,3.701089928657383,702.6684,513
2,3,N,6,1,5,0,0.863333903865228,84.54831,418
1,1,N,6,1,5,0,2.7181749546476985,516.0581,415
2,5,N,6,1,5,0,0.960111803372472,192.79109,166
2,6,N,6,1,5,0,0.942397726981684,408.2068,158
2,5,N,6,1,5,0,0.5527511804190722,-184.15627,213
2,1,N,6,1,5,0,0.7201197454039668,36.01538,208
2,2,N,6,1,5,0,0.6754542104122189,591.3903,254
2,1,N,6,1,5,0,7.260813328713638,1325.273,1293
1,1,N,6,1,5,0,2.014312728296926,458.7778,519
2,2,N,6,1,5,0,0.9884619337838922,274.6993,265
2,1,N,6,1,5,0,3.017539711063552,732.49084,542
1,1,N,6,1,5,0,2.5053650326711985,536.2907,403
1,1,N,6,1,5,0,1.8965345948557013,529.34753,405
2,5,N,6,1,5,0,1.954325555295064,370.72842,457
1,1,N,6,1,5,0,6.792139979811772,1062.2628,1501
1,1,N,6,1,5,0,2.5948796184257112,497.8885,378
2,2,N,6,1,5,0,0.4025962394658909,277.10492,293
1,1,N,6,1,5,0,0.7379245865092935,205.80031,262
2,1,N,6,1,5,0,1.3548189406938786,290.02222,397
2,1,N,6,1,5,0,2.8245343095631763,2090.3293,979
2,2,N,6,1,5,0,1.189307883927906,355.34222,205
1,1,N,6,1,5,0,0.707267948913367,311.05356,236
1,1,N,6,1,5,0,2.77066986584944,525.60425,336
